P#,Country,DRM Pillar,Prior Action,Result Indicator
P178122,Dominican Republic,Risk Identification,"The Borrower, through IGN, has taken measures to enhance the institutional and regulatory framework for the production and use of climate and disaster risk information through: (a) the adoption of an internationally recognized standard for quality production processes for geospatial data through the approval of a national geospatial Quality Model, as evidenced by the IGN´s Director General Resolution No. 02-2022, dated April 7, 2022; (b) the establishment of an inter-institutional cooperation framework aiming at developing the national geodetic system as evidenced by the Inter-institutional Cooperation Agreement dated October 3, 2022 between MEPyD, IGN, CPJ, MOPC, CODIA, FUNDCORSRD, and GIS; and (c) elevating the hierarchy level of the Department of Geodesy to that of Directorate for Geodesy within the IGN with the mandate to coordinate the national geodetic system, generate guidelines and actions towards its protection and strengthening and release information issued by the national geodetic network, as evidenced by the IGN’s Executive Board Resolution No. 001-2022, dated May 12, 2022",2:Territorial coverage of the public geodetic Continuously Operating Reference Stations Ã¢â‚¬â€œ CORS
P178122,Dominican Republic,Territorial and urban planning,"The Borrower has taken measures to enhance the legal framework for efficient and risk-informed territorial and land-use planning by (a) submitting to the National Assembly a bill on territorial planning, land-use and human settlement, as evidenced by the bill submitted on August 18, 2022 to the Senate as initiative No. 01647-2022-SLO-SE, published in the Senate’s website; and (b) enacting the Single Planning Regions Organic Law No. 345-22, published in the Official Gazette on August 2, 2022.","1A: First risk-informed National Territorial Plan, approved
1B: Local authorities with risk-informed territorial planning instruments aligned with the TP Law"
P178122,Dominican Republic,Sector-specific risk reduction measures,"The Borrower has: (a) created the Ministry of Housing, Habitat and Buildings (“MIVHED”), and under MIVHED, the National Council of Technical Regulations for Buildings (“CONARTED”), responsible for research, analysis, development, and approval of technical, scientific, and methodological regulations; and (b) mandated the promotion and consideration of sustainable criteria in the construction of housing including consideration for disaster risk management and climate resilience criteria, all as evidenced by Law No. 160-21, published in the Official Gazette on August 3, 2021 and Presidential Decree No. 236-22, published in the Official Gazette on May 5, 2022.","3: A consolidated building code, including seismic and building materials regulations and hurricane resilience standards, followinginternational standards, adopted"
P178122,Dominican Republic,Adaptive Social Protection,"The Borrower has established a national adaptive social protection system through: (a) the creation of the umbrella social protection framework program “SUPERATE”, including the institutionalization of emergency cash transfers to respond to disasters and other climate change related shocks, as evidenced by: (i) Article 5 (b) (v) of Presidential Decree No. 377-21, published in the Official Gazette on June 14, 2021; and (ii) version 1.0 of SUPERATE’s Operational Manual dated May 27, 2022, as approved by Administrative Resolution No. 004-22, dated May 31, 2022, both published in SUPERATE’s website; and (b) the mandate to develop a universal and single registry of potential beneficiaries of social protection instruments, as evidenced by SIUBEN’s Resolution No. 003-22, dated March 10, 2022 and published in SIUBEN’s website.","4A: Defined operational guidelines for the emergency cash transfers (Bono de Emergencia), approved
4B: Female-headed households added to SIUBEN+ target"
P178122,Dominican Republic,Fiscal Risk,"The Borrower has taken measures to improve fiscal resilience against disaster risk through the identification of disaster risk fiscal policies in its medium-term fiscal framework, as evidenced by letter No. MH-2022-011202 (from the Minister of Finance to MEPyD) and No. MH-2022-011181 (from the Minister of Finance to DIGEPRES), both dated April 29, 2022 attaching the approved Borrower’s medium-term fiscal framework for 2022-2026, published in the Ministry of Finance’s website on April, 2022.","Inclusion of modelled economic and fiscal losses associated with disaster and climate risk in the Budget preparation, following thenew Methodology"
P178676,Solomon Islands,Not DRM,"Prior Action #1. To improve revenue collection, the Recipient has submitted to Parliament the Value Added Tax (VAT) Bill, which taxes goods and services at a standard rate of 15 percent and zero-rates all exports.",Results Indicator #1: nonlogging domestic revenue (as percent of GDP)
P178676,Solomon Islands,Not DRM,"Prior Action #2. To increase revenue collection in the mining sector, the Recipient, through its Minister of Mines, Energy and Rural Electrification, has made the Mine and Minerals (Nickel) (Royalty) Regulations 2023 to determine the nickel royalty based on the contained metal in the ore.",Results Indicator #2: nickel royalty per dry tonne (in constant US$)
P178676,Solomon Islands,Not DRM,"Prior Action #4. To reduce electricity tariffs and diversify the energy mix, the Recipient has submitted to Parliament the Electricity (Amendment) Bill which amends: (i) the mechanism for setting the rates and scales of electricity tariffs, and (ii) the definition of installation to allow for the inclusion of renewable energy generation equipment.","Results Indicator #4: 4a) Commercial electricity tariff differential relative to structural peers in the region (Kiribati, Samoa, and Vanuatu, US$/kwh) 4b) share of renewable energy in the energy mix (excl. Tina River)"
P178676,Solomon Islands,Not DRM,"Prior Action #5. To increase access to credit, the Recipient has submitted to Parliament the Central Bank of Solomon Islands (Amendment) Bill 2023 (“CBSI Bill”), which permits the use of credit information for the purpose of improving the quality of bank credit and non-bank credits (CBSI Bill Clause 16).",Results Indicator #5: 5a) Domestic credit to private sector (as share of GDP) 5b) Loans granted to women (as a percent of total).
P178676,Solomon Islands,Not DRM,"Prior Action #6. To promote private investment, the Recipient, through its Cabinet, has approved the Solomon Islands Investment Policy and Promotion Strategy, which sets out a framework for streamlining the process of doing business, protecting investors, simplifying investment admission and establishment, and establishing a new Investment Promotion Authority.",Results Indicator #6: The number of foreign enterprises registered in Solomon Islands.
P178676,Solomon Islands,DRM policies and institutions,"Prior Action #7. To enhance climate resilience, the Recipient, through its Cabinet, has approved the National Climate Change Policy (2023-2032) which inter alia sets directives to address climate change through adaptation and risk reduction measures.",Results Indicator #7: Development applications screened against the climate and disaster risk ordinances developed in at least 2 local government areas.
P178676,Solomon Islands,DRM policies and institutions,"Prior Action #8. To improve climate and disaster resilience of infrastructure, the Recipient, through its Cabinet, has approved for submission to Parliament: (i) the National Building Standards Bill 2023; and (ii) the National Building Code, which improve the national building standards and ensure construction methods comply with climate change and disaster resilience measures.",Results Indicator #8: Share of permit applications assessed for compliance with the building regulations and code (percent of total).
P178676,Solomon Islands,Public investment at the central level,"Prior Action #3. To strengthen public investment management, the Recipient, through its Ministry of Finance and Treasury, has issued a Ministerial Order which establishes a framework for managing externally financed public investments, including climate change impacts as one of the guiding principles.",Results Indicator #3: percentage of externally financed project proposals analyzed following PIM Appraisal Guidelines
P179263,Mauritania,Not DRM,"Prior Action 1: To improve debt management and transparency, the Recipient has issued and published in the official gazette a ministerial order (arrêté) mandating an annual publication of the Medium-Term Debt Management Strategy (MTDS), the resulting Annual Borrowing Plan (ABP), and an assessment of the implementation of the MTDS.","Result indicator 1.a: Number of MTDS and ABP published
Result indicator 1.b: Percentage decrease in external debt (as a proportion of total debt) consistent with the 2024- 2026 MTDS"
P179263,Mauritania,Not DRM,"Prior Action 2: To improve the monitoring of state-owned enterprises’ debt, the Recipient has issued and published in the official gazette a ministerial order (arrêté) to (i) instruct the stateowned enterprises to share no later than March 31 each year, data on their stocks of stateguaranteed and non-guaranteed debt of the previous year with the Recipient’s directorate of external debts, central bank and treasury; and (ii) instruct the Recipient’s directorate of external debts to create a central database of state-owned enterprises’ debts.",Result indicator 2: SOEs accounting for at least 80 percent of the total turnover of the SOE portfolio have reported their guaranteed debt and non-guaranteed debt to the debt management entities
P179263,Mauritania,Not DRM,"Prior Action 4: To improve tax compliance and increase tax revenues, the Recipient has: (i) issued and published in the official gazette a ministerial order (arrêté) setting the conditions for online filing and payment of taxes; and (ii) enacted a rectification of its budget law published on the Recipient’s MoF website, which increases the VAT rate applicable to the telecommunication sector from 16 percent to 18 percent and introduces a new special levy of 5 percent of the turnover of telecommunication firms.","Result indicator 4.a: Amount of taxes paid by large companies using the online platform, as a percentage of total taxes declared by large firms
Result indicator 4.b: Tax revenues (excluding extractive) in percentage of GDP"
P179263,Mauritania,Not DRM,"Prior Action 5: To enhance market dynamics, the Recipient has enacted and published in the official gazette a competition law to define and sanction anticompetitive behavior as well as to control the anticompetitive effects of mergers.",Result indicator 5: Total number of competition policy decisions taken by the Competition Council
P179263,Mauritania,Risk Identification,"Prior Action 8: To increase the governance and climate resilience in coastal areas, the Recipient has issued a decree published in the official gazette for the establishment of a coastal observatory under its Ministry responsible for environment to monitor coast`al ecosystems and facilitate decision making processes for coastal development and protection.",Result indicator 8: Share of coastal areas covered by target cartography (percentage)
P179263,Mauritania,Territorial and urban planning,"Prior Action 7: To limit the expansion of urban settlements in risk prone areas and avoid the creation of new risks, the Recipient’s Parliament has adopted the New Urban Planning Law (Code de l’Urbanisme) which governs the integration of disaster and climate risks consideration into urban planning instruments",Result indicator 7: Share of urban municipalities covered by planning instruments integrating climate and disaster risk management considerations (percentage)
P179263,Mauritania,Emergency Preparedness and Response,"Prior Action 6: To effectively respond to disaster and climate related shocks in an inclusive and gender-responsible manner, the Recipient has issued and published in the official gazette a decree establishing a unified emergency preparedness and response institutional framework, including a streamlined process to declare a natural catastrophe.","Results Indicator 6.a: Share of wilayas with an Emergency Regional Committee in place and operating rules approved and published
Results Indicator 6.b: Data and information gathered and used in post disaster assessments and preparedness activities are disaggregated by sex, age, and disability"
P179263,Mauritania,Fiscal Risk,"Prior Action 3: To better address fiscal risks, the Recipient has issued and published in the official gazette a ministerial order (arrêté) to: (i) adopt a methodological framework for identifying and quantifying fiscal risks including those related to disaster and climate shocks; and (ii) mandate the publication of an annual fiscal risk statement quantifying the main risks identified and proposing mitigating measures.",Result indicator 3: Number of fiscal risk statements published using the new methodology and including estimates of climate related risks and mitigation measures
P179813,Tonga,Not DRM,"Prior Action #1. To strengthen domestic revenue mobilization, the Recipient, has published in the Gazette the Revenue Services Administration (Electronic Sales Register System) Regulations 2022, which establish an electronic sales register system to analyze and transmit fiscal data to the Ministry of Revenue and Customs.",Results Indicator #1: Consumption tax revenue as share of GDP
P179813,Tonga,Not DRM,"Prior Action #2. To improve the effectiveness of public debt management and achieve a sustainable fiscal policy, the Recipient, through its Cabinet, has approved for submission to Parliament the Public Financial Management Bill 2023, which among other provisions, outlines key fiscal responsibility principles and sets a numerical limit on the stock of government-guaranteed debt.",Results Indicator #2: Public and Publicly Guaranteed (PPG) debt as share of GDP
P179813,Tonga,DRM policies and institutions,"Prior Action #3. To enhance climate and disaster resilience of disaster-affected communities, the Recipient, through its Cabinet, has approved the Disaster Risk Management Policy Framework 2023- 2030, which clarifies roles and responsibilities for stakeholders at the national and sub-national level.",Results Indicator #3: Share of population covered by DRM Plans which include planning for climate induced disasters and essential GBV support services
P179813,Tonga,Adaptive Social Protection,"Prior Action #5. To strengthen the social protection system and support a timely and efficient disaster response, the Recipient, through its Cabinet, has approved a National Social Protection policy that defines guiding principles and policy priority areas to design, implement and monitor current and future social protection programs.",Results Indicator #5: Share of poor and vulnerable households registered in the CCT database disaggregated by sex and vulnerability status
P179813,Tonga,Disaster Risk Financing strategies and instruments,"Prior Action #4. To enhance disaster preparedness and response, the Recipient, through its Ministry of Finance, has issued Treasury Instructions with the Guideline for the National Emergency Fund (NEF) to govern the use of resources and implementation progress reporting of the NEF.",Results Indicator #4: Budget allocations to National Emergency Fund (up to 0.5 percent of GDP) and implementation progress reporting are consistent with revised legal framework
P179820,Tuvalu,DRM policies and institutions,"Prior Action #4. To strengthen the institutional arrangements for emergency preparedness and response, the Recipient has approved through its Cabinet and submitted to Parliament the National Disaster Management (Amendment) Bill 2023, which inter alia clarifies the mandate of the National Disaster Management Office (NDMO) to act as the national coordinating and monitoring entity for disaster risk management.",Results Indicator #4: Annual drills conducted in key islands under NDMO's coordination (number)
P179820,Tuvalu,DRM policies and institutions,"Prior Action #5. To strengthen the institutional arrangements for emergency preparedness and response, the Recipient has approved through its Cabinet and submitted to Parliament the National Disaster Management (Amendment) Bill 2023, which inter alia creates a new seat in the Island Disaster Committees (IDCs) for an Island Women’s Group representative to secure gender representation in decision-making on issues related to climate and disaster risks",Results Indicator #5: Island Women's Group representatives appointed and incorporated in IDCs to secure women's representation and to voice their interests (number)
P179820,Tuvalu,Sector-specific risk reduction measures,"Prior Action #6. To improve the structural resilience of buildings to disasters, the Recipient, through its Cabinet, has approved the creation of a National Building Code Assessment Unit within the Ministry of Public Works, Infrastructure, Environment, Labor, Meteorology, and Disaster that is mandated to enforce the Building Regulations and Building Code for all public buildings.",Results Indicator #6: Share of permit applications assessed for compliance with Building Code by the National Building Code Assessment Unit (BCAU) (percent of total)
P179820,Tuvalu,Emergency Preparedness and Response,"Prior Action #3. To expedite the flow of critical goods trade during crises and disasters, the Recipient has enacted the Customs Revenue and Border Protection (Amendment) Act 2023 which supports expedited clearance of imported goods, including priority medical and food products and emergency goods, in line with international trade facilitation standards and regional agreements.",Results Indicator #3: Clearance time for trading commodities (hours)
P179820,Tuvalu,Fiscal Risk,"Prior Action #1. To strengthen fiscal resilience to climate risks, the Recipient, through its Cabinet, has endorsed the Ministerial Order on Fiscal Risks Reporting (LN 5 of 2023) issued by the Minister of Finance, mandating the identification, analysis, and publication of fiscal risks in an annual report on its website.",Results Indicator #1: Difference between budgeted expenditure and actual expenditure (percent change)
P179820,Tuvalu,Fiscal Risk,"Prior Action #2. To strengthen climate resilience in the public financial management system, the Recipient, through its Cabinet, has approved the implementation of a Climate Budget Tagging methodology.",Results Indicator #2: Share of tagged budget programs linked to Governmentâ€™s climate change priorities (percent of total)
P179861,Costa Rica,DRM policies and institutions,"The Borrower has taken measures to increase climate change adaptation in key government sectors at the national and regional level by adopting the action plan for the National Policy on Climate Change and approving mandatory requirements for its implementation, as evidenced by the action plan 2022-2026 published in MINAE’s website and Decree N° 43491-MINAE, published in the Official Gazette No. 89 on May 16, 2022.","PA3. Results indicator 3A: Cantonal climate risk adaptation plans approved by Municipal Councils
PA3. Results indicator 3B: Emergency and Adaptation Plan for Climate Events in indigenous territories prepared in consultation with indigenous peoples organizations"
P179861,Costa Rica,DRM policies and institutions,"The CNE has approved a strategy for mainstreaming gender equality in the national risk management system, to guarantee the inclusion of gender equality, non-discrimination, and an intersectional approach in the analysis of differentiated vulnerabilities within the following three multisectoral subsystems: (a) risk reduction, (b) preparedness and response, and (c) recovery, as evidenced by the 2023-2027 strategy published in CNE’s website and Agreement No. 244-12-2022 of the CNE’s Board of Directors dated December 15, 2022 and published in CNE’s website.","PA2. Results indicator 2A: Number of municipal DRM committees adopting the GBV prevention and management protocols for emergency situations
PA2. Results indicator 2B: Percent increase in the share of female participants in local DRM committees who consider their participation has informed local programs and strategies for DRM and CCA"
P179861,Costa Rica,Sector-specific risk reduction measures,"The Borrower has strengthened its regional and territorial management tools for enhanced integrated water resources management in the Sarapiquí basin through the approval of a legal framework including risk management and climate change adaptation measures for the environmental protection of the basin and planning and management instruments to promote the conservation and sustainable development of its biodiversity and water resources, as evidenced by Law No 10,152, published in the Official Gazette No. 77 on April 28, 2022.","PA4. Results indicator 4A: Municipalities of the Sarapiqui Basin adopting the comprehensive basin management plan in their territorial management instruments
PA4. Results indicator 4B: Number of non-structural climate adaptation measures strengthened at the Sarapiqui Basin scale"
P179861,Costa Rica,Disaster Risk Financing strategies and instruments,"The Borrower has taken measures to strengthen the inclusive and resilient financial management of disaster risks, including those related to climate change, by adopting a national strategy for financial management of disaster risks and approving mandatory requirements for its implementation, as evidenced by the national strategy for financial management of disaster risks published in the Ministry of Finance’s website and Decree No. 43663-H, published in the Official Gazette No. 182 on September 26, 2022.","PA1. Results indicator 1A: Adoption and implementation of new or improved risk financing instruments at the sovereign, sectoral, or private sector levels
PA1. Results indicator 1B: Financial preparedness plans and reconstruction/recovery plans and budgets that apply gender-differentiated impact and intersectional analysis
PA1. Results indicator 1C: Disaster Risk Financing Strategy Pillar action plans approved by the financial management coordination instance (ICO) and achievement of agreed implementation progress"
P180286,Benin,Not DRM,"Prior Action #6. To promote access to basic health services, the Recipient has established a health insurance scheme with subsidized basic health care for the poor and very poor identified in the Recipient’s RSU and reproductive health care for women.","Results Indicator #6.1: Share of poor and extreme poor in the RSU benefiting from the subsidized health coverage (percent)
Results Indicator #6.2: The share of women in the poorest wealth quintile accessing skilled birth assistance (percent)"
P180286,Benin,Not DRM,"Prior Action #1. To support a competitive mobilization of private financing, the Recipient has submitted to national assembly a draft law on PPP, which defines PPP and clarifies its scope of application, confirms the general principles for competitive and transparent selection of bidders, increased oversight by technical structures, rationalized deadlines, and including environmental guidelines.",Results Indicator #1: Number of PPP projects catalog published 0
P180286,Benin,Not DRM,"Prior Action #2. To promote MSMEs growth and development, the Recipient has adopted the implementing decree on the promotion and development of MSMEs, which increases support to MSMEs post registration support with respect to access to finance and to public markets, and which includes tools to help to boost their productivit.",Results Indicator #2: Share of MSMEs having received financing through the One-Stop shop for MSMEs (percent)
P180286,Benin,Not DRM,"Prior Action #3. To enhance the efficiency of the judicial system and dispute resolution and contribute to the improvement of the investment climate, the Recipient has created the Specialized Land Court, which includes a trial chamber and an appeals chamber and operationalized such land court.",Results Indicator #3: Average processing time for legal resolution of business-related claims (days)
P180286,Benin,Not DRM,"Prior Action #4. To rationalize tax expenditure, the Recipient has enacted the law on the establishment and operation of Special Economic Zones, which rationalizes and regulates tax incentives granted in special economic zones.",Results Indicator #4: Increase in tax revenues excluding international trade (percent of GDP)
P180286,Benin,Not DRM,"Prior Action #5. To boost customs revenue collection, the Recipient has strengthened the risk management system aimed at (i) guaranteeing transparency of outstanding customs recoveries; and (ii) established a data-driven ex-post control of customs declarations and duty payments.",Results Indicator #5: Increase in customs revenues (percent of GDP).
P180286,Benin,DRM policies and institutions,"Prior Action #10. To strengthen the national disaster risk management system, the Recipient has adopted a decree defining the measures and procedures to enhance disaster risk preparedness, financing, and response.",Results Indicator #10: Share of municipalities with contingency plans developed or updated in line with the new disaster risk reduction framework (percent)
P180286,Benin,Territorial and urban planning,"Prior Action #8. To reduce climate risks in cities, the Recipient has submitted to its national assembly the draft law on Urban Planning (Loi sur l’urbanisme), which contains provisions for urban planning and development to take into account environmental sustainability, climate change adaptation and hazard assessment.",Results Indicator #8: Share of cities adopting an urban masterplan complying with the new Urban Planning Code (percent)
P180286,Benin,Sector-specific risk reduction measures,"Prior Action #9. To reduce the impact of climate change on coastal erosion, the Recipient has adopted the implementing regulations of the law on the protection of the coastline, which (i) creating the national unit for the protection and management of the coastline and its subdivisions; and (ii) contains directives needed for the development and enhancement of the coastal zone.",Results Indicator #9: Length of protected coastline (km)
P180286,Benin,Adaptive Social Protection,"Prior Action #7. To strengthen the sustainability and adaptability of the social protection system, the Recipient has determined the roles, responsibilities and resources for the identification of households living in flood-risk areas to be integrated into the Recipient’s RSU.",Results Indicator #7: Share of population living in flood-risk areas covered by the RSU (percent)
P180585,Philippines,Territorial and urban planning,"PA3. To establish livable communities, the Borrower, through the Department of Human Settlements and Urban Development (DHSUD), mandated its bureaus to prescribe to Local Government Units (LGUs) the integration of climate and disaster resilience measures in the formulation of Comprehensive Land Use Plans (CLUPs) using a risk-informed and evidence-based platform through the issuance of DHSUD Department Order.",Results Indicator B1: Number of LGUs that implement zoning regulations based on disaster and climate risk informed CLUPs.
P180585,Philippines,Territorial and urban planning,"PA4. To enhance the resilience of communities, the Borrower, through the DHSUD, mandated its bureaus to develop guidelines for LGUs in planning resilient urban
design strategies, including the establishment and maintenance of green and open spaces through the issuance of DHSUD Department Order ","Results Indicator B2: Number of LGUs that have developed and integrated resilient urban design strategies in their land use plans (CLUPs).
Results Indicator B3: Number of LGUs that have developed plans for green and open spaces using DHSUD’s guidelines; and number of LGUs that have established green and open spaces using DHSUD guidelines."
P180585,Philippines,Sector-specific risk reduction measures,"PA#1. To enhance the resilience of school infrastructure, the Borrower: (i) through its President, required all national government agencies to integrate disaster and climate resilience measures in planning, programming, and infrastructure design through an Executive Order, and (ii) through its Department of Education (DepEd) mandated its bureaus to develop a School Infrastructure Investment Program using a risk-informed and evidence-based platform, as evidenced through a DepEd Department Order. Presidential Executive Order.","Results Indicator A1.1: Percentage of schools that integrate disaster and climate resilience measures; and number of schools strengthened against disaster and climate hazards.
Results Indicator A1.2: Sexdisaggregated data is collected and used in developing policies, regulations and informs overall planning and investment programming."
P180585,Philippines,Sector-specific risk reduction measures,"PA5. To better withstand the impacts of hazards and minimize disruption of health services, the Borrower, through the Department of Health (DOH), mandated its bureaus to integrate disaster and climate resilience measures in the construction, renovation and retrofitting of all health infrastructure projects funded under the DOH Health Facilities Enhancement Program through the issuance of DOH Department Memorandum.",Results Indicator C1: Percentage of health facilities funded under the DOH Health Facilities Enhancement Program that integrate disaster and climate resilience measures.
P180585,Philippines,Emergency Preparedness and Response,"Prior Action #2: To protect students and DepEd personnel from natural hazards the Borrower, through the DepEd, mandated schools to develop Emergency Preparedness and Response (contingency) Plans using a risk-informed and evidence-based platform through the issuance of DepEd
Order.",Results Indicator A2: Percentage of schools in the GMMA that implement risk-informed disaster and climate preparedness and response plan.
P181344,Nepal,Mainstreaming DRM into national development plans,"Prior Action #1: To enable the allocation and transfer of funds from the Disaster Management Fund (DMF) at the central level to provincial and local level DMFs and effective utilization, the Recipient through the Council of Ministers, has approved the Disaster Risk Reduction and Management (First Amendment) Regulation 2081 (2024), as evidenced by its publication in the Recipient’s gazette (section 74 Gazette No. 13, June 17, 2024).","Results Indicator 1: Funding from the central level DMF is transferred to province, district, and local DMFs for relief, response, and risk-reduction in line with the updated DMF operational guidelines, including conducting evidence-based assessments to support funding requests (Y/N)
Intermediate Result Indicator 1.1: Mechanism to collect disaggregated data (by sex, age, disability) of the affected population established at the PLGs and linked to the BIPAD portal for vulnerability risk assessment (VRA) informed planning (Y/N)"
P181344,Nepal,Sector-specific risk reduction measures,"Prior Action #2: To enhance building resilience to disasters and strengthen construction requirements, practices and compliance for emergency evacuation, disaster risk mitigation and fire safety, and to facilitate implementation monitoring, the Recipient, through the Ministry of Urban Development, has approved the amended National Building Codes NBC 206:2024 Architectural Design Requirements and NBC 205:2024 Ready to Use Detailing Guideline for Low Rise Reinforced Concrete Buildings Without Masonry Infill, as evidenced by their publication in the Recipient’s gazette (Section 74 Gazette No. 8, May 27, 2024; Section 74 Gazette No. 11, June 10, 2024).","Results Indicator 2: Establish a centralized electronic buildingpermit system (eBPS) to enable building code compliance (Y/N). 
Intermediate Result Indicator 2.1: Municipalities that have upgraded their electronic building permit systems (eBPS) or connected to centralized eBPS for compliance and monitoring of building codes including NBC 205 and 206 (Number)."
P181344,Nepal,Sector-specific risk reduction measures,"Prior Action #4: To manage water-induced disasters and regulate the extraction of river and river-based construction materials, protect watershed and river network, and clarify the institutional mandates across three tiers of government, the Recipient, through the Council of Ministers, has approved the River and Water Induced Disaster Management Policy, as evidenced by the letter dated December 14, 2023 (Council of Ministers M./321/2969), from the Office of Prime Minister and Council of Ministers and its publication on the MOEWRI’s website.","Results Indicator 4: River management masterplans (including sediment management plans) prepared for critical river systems (Number).
Result Indicator 5: River embankment protection informed by the river management master plan (Kilometers). "
P181344,Nepal,Early Warning Systems,"Prior Action #3: To improve disaster risk preparedness and response capacity, and to facilitate public-private partnerships to expand the scope of early warning communication from single to multiple hazards, the Recipient, through the Department of Hydrology and Meteorology (DHM) has entered into memorandum of understanding with the key telecom service providers, as evidenced by public notification published on DHM’s website.","Results Indicator 3: Hazard warning communication provided by DHM expanded from single (flood) to multiple hazards (wildfire, heatwave, flood, thunderstorms, and landslide) (Number).
Intermediate Result Indicator 3.1: People with enhanced resilience to climate risks due to improved access to early warning communication (Number)."
P181344,Nepal,Early Warning Systems,"Prior Action #5: To enhance its preparedness and response capacities for public health emergencies, the Recipient, through the Council of Ministers, has approved a new list of notifiable prioritized diseases, syndromes, and conditions to expand the scope of monitored diseases and health risk within its disease surveillance system for early warning and emergency actions pursuant to section 49 (1) of the Public Health Service Act 2018, as evidenced by the decision approved by the Council of Ministers and its publication in the Recipient’s gazette (Section 74, Gazette No.17, July 4, 2024).","Results Indicator 6: Diseases, syndromes, and conditions monitored weekly by the Early Warning and Reporting System (Number)."
P500536,Bhutan,Territorial and urban planning,"PA 3. To enable resilient and sustainable growth of Thimphu, the Recipient, through its MoIT, has adopted the Thimphu Design Code that mandates risk-informed urban planning and development for the city on July 17, 2024; as evidenced by the letter ref. MoIT/PPD/03/126.",RI #3. All new development or redevelopment in hazard-prone areas of Thimphu is approved and implemented in compliance with mandatory geohazard and flood resilience measures of the Thimphu Design Code (Yes/No)
P500536,Bhutan,Sector-specific risk reduction measures,"PA 1. To enhance the resilience of hydropower systems, the Recipient, through its Ministry of Energy and Natural Resources, has revised the Guidelines for Development of Hydropower Projects and the Dam Safety Guidelines for Hydropower mandating integrated dam safety and geohazard management for hazards including GLOF and earthquakes as published on the MoENR’s website dated August , 2024.",RI #1. Capacity of new planned hydropower projects with a DRM action plan in place (Megawatt
P500536,Bhutan,Sector-specific risk reduction measures,"PA 2. To enhance the resilience and safety of buildings, the Recipient, through its Ministry of Infrastructure and Transport, has adopted the revised Bhutan Building Regulation 2023 (BBR) that strengthens relevant codes and guidelines for lowcarbon and resilient buildings; as published on the MoIT website dated September 27, 2023.",RI #2. Dzongkhags in which new critical buildings construction is inspected by trained site supervisors and occupancy permits issued in compliance with the safety and resilience standards set out in the revised Building Regulation and Building Code (number)
P500536,Bhutan,Sector-specific risk reduction measures,"PA 5. To mitigate forest fire risks, the Recipient, through its Ministry of Energy and Natural Resources, has issued the updated Forest and Nature Conservation (FNC) Rules and Regulations, 2023 through inter alia, (i) establishing a new fine and compensation system for offenses related to forest fires, and (ii) setting the fine and restoration costs based on the magnitude of the damage; as published on the DoFPS website dated October 31, 2023.",RI #5. Community-based Forest Fire Management Groups formed (number
P500536,Bhutan,Early Warning Systems,"PA 4. To strengthen hydromet services in Bhutan, the Recipient, through its Cabinet, has approved the National Hydromet Policy that defines the institutional mandate and governance of NCHM and enhances the quality of hydromet services; as evidenced by the letter ref. C-3/152/2023/1786 dated September 18, 2023.","RI #4. People covered with enhanced GLOF early warnings in Punatsangchu and Chamkhar-Mangde basins (number of people)
Gender RI: Knowledge and awareness of GLOF early warnings enhanced in high-risk areas among women trained (percentage)"
P500536,Bhutan,Fiscal Risk,"PA 6. To improve Bhutan’s financial system resilience and the accuracy of disaster risk insurance, the Recipient has i through the Royal Civil Service Commission (RCSC), upgraded the Property Assessment and Valuation Agency (PAVA) Unit within the MoF into a division with appropriate budget and staffing as evidenced by the RCSC Order RCSC/HRMD/7/2024/286 dated July 18, 2024 and (ii) the Ministry of Finance has tasked PAVA to take the lead in the establishment of National Valuation Standards to keep up with the requirements of the international valuation standards (IVS); as evidenced by the MoF Circular No.FM/DMDF/PA-08/2024/29 dated June 28, 2024","RI #6. Properties with valuations issued under National Valuation Standards that adhere to International Valuation Standards (percentage)
Gender RI: PAVA enhances employment of women in technical positions (percentage)"
P500609,Fiji,Not DRM,"Prior Action #1. To enhance revenue mobilization and build fiscal buffers to respond to shocks, the Recipient, in line with its Supplement to the 2023-2024 Budget Address, has increased rates for the value added tax, the income tax, and the airport departure tax.",Results Indicator #1: Tax revenue (percent of GDP)
P500609,Fiji,Not DRM,"Prior Action #3. To facilitate Micro, Small and Medium Enterprises (MSME) access to finance, Cabinet has endorsed for tabling to Parliament the Access to Business Funding Bill which expands the instruments for MSMEs to raise debt and equity finance.",Results Indicator #4: Share of MSMEs accessing financial services from a regulated financial institution (percent)
P500609,Fiji,Not DRM,"Prior Action #4. To streamline the business environment, the Acting Minister for Employment, Productivity and Industrial Relations, has made the Health and Safety at Work (General Workplace Conditions) (Amendment) Regulations 2024 to apply a risk-based approach to inspections and certification.",Results Indicator #5: Share of low risk businesses with reduced frequency of inspections and certificate renewal (percent)
P500609,Fiji,Not DRM,"Prior Action #5. To promote utilization of digital financial services, the Reserve Bank of Fiji has approved a Policy for the Protection and Fair Treatment of Financial Consumers to improve transparency, disclosure, and consumer data protection.",Results Indicator #6: Increase in volume of digital payments (percent)
P500609,Fiji,Not DRM,"Prior Action #6. To build a healthy working-age population, Cabinet has endorsed the Fiji Health Promoting Schools and School Health Policy 2024–2029 for children and youth in Early Childhood Education (ECE), Primary, and Secondary Schools, with population-level screening and early intervention to promote healthy behavior and curb the development of NCD risk factors.","Results Indicator #7:(i) Share of students from early childhood to secondary school who are malnourished identified and referred for treatment (percent)
(ii) Share of students meeting recommended physical activity guidelinesGirls Boys (percent)"
